Month,DayOfWeek,DepHour,IsWeekend,Distance,IsDelayed,Airline_Encoded,Origin_Encoded
5,7,20,1,533.0,0,18,23
5,4,10,0,859.0,0,7,23
2,3,11,0,937.0,0,20,18
5,3,13,0,1721.0,0,20,27
4,4,10,0,900.0,0,0,22
7,1,13,0,411.0,0,8,6
7,3,17,0,139.0,0,9,22
7,3,17,0,372.0,1,17,28
2,1,13,0,1092.0,0,18,23
7,6,12,1,764.0,0,2,23
4,1,9,0,900.0,0,17,23
2,6,11,1,397.0,0,18,15
5,6,18,1,2704.0,0,1,3
5,1,18,0,308.0,0,13,23
2,6,21,1,551.0,0,8,0
7,6,18,1,913.0,0,17,13
4,2,15,0,442.0,0,7,23
2,1,18,0,2454.0,0,1,10
5,1,18,0,744.0,0,20,13
4,3,9,0,569.0,0,18,23
7,5,21,1,853.0,1,7,0
7,5,10,1,1089.0,0,3,24
5,5,17,1,612.0,1,20,6
4,7,15,1,2611.0,0,3,16
4,5,11,1,1005.0,1,3,22
2,7,10,1,240.0,1,0,22
4,1,22,0,294.0,0,9,20
4,5,12,1,2704.0,0,14,3
4,1,19,0,734.0,0,2,23
2,6,21,1,393.0,0,17,21
5,4,22,0,500.0,0,3,5
4,6,15,1,1258.0,0,3,3
7,3,18,0,134.0,1,7,23
5,7,11,1,1235.0,0,3,16
7,2,20,0,557.0,0,9,22
2,7,7,1,862.0,0,20,13
4,1,9,0,1236.0,0,17,22
4,4,19,0,528.0,1,18,23
7,5,8,1,156.0,1,17,22
7,5,9,1,599.0,1,3,5
7,3,8,0,1005.0,1,18,23
4,6,10,1,1103.0,0,18,1
7,2,7,0,554.0,0,7,0
2,3,8,0,368.0,0,18,15
7,5,9,1,436.0,0,17,22
4,1,19,0,286.0,0,4,23
5,5,7,1,862.0,0,20,13
2,4,11,0,391.0,0,17,23
2,5,17,1,408.0,0,9,8
2,4,6,0,164.0,0,7,23
7,2,5,0,495.0,0,18,23
4,6,12,1,1069.0,0,7,7
2,4,13,0,875.0,0,2,23
4,2,17,0,607.0,0,9,23
4,6,13,1,1049.0,1,2,23
5,5,9,1,670.0,0,18,23
2,1,12,0,91.0,0,5,23
2,1,18,0,409.0,0,17,22
2,1,19,0,216.0,0,12,23
5,5,16,1,967.0,0,20,28
2,3,10,0,1246.0,0,18,16
4,1,10,0,1197.0,0,3,22
7,5,14,1,296.0,0,8,23
2,7,10,1,447.0,0,18,0
4,6,17,1,879.0,1,18,25
5,3,18,0,867.0,1,18,15
4,2,8,0,370.0,0,17,16
4,7,14,1,680.0,1,18,7
2,1,12,0,612.0,0,16,2
2,7,14,1,223.0,0,18,15
4,5,15,1,363.0,0,8,0
7,7,7,1,395.0,0,18,19
7,2,15,0,528.0,0,9,22
2,6,10,1,1744.0,0,20,16
5,3,5,0,1360.0,0,9,23
4,7,8,1,758.0,0,2,19
2,4,15,0,547.0,0,16,6
4,3,8,0,991.0,0,20,23
5,6,7,1,989.0,0,3,29
2,4,19,0,920.0,0,7,23
5,6,22,1,2136.0,0,19,16
4,4,16,0,352.0,1,13,27
2,3,19,0,948.0,0,9,20
7,6,9,1,297.0,0,17,21
7,6,10,1,468.0,0,3,18
4,7,8,1,989.0,0,3,29
2,4,17,0,1005.0,0,18,11
4,1,11,0,1069.0,1,14,11
2,2,5,0,967.0,0,20,28
5,7,9,1,1050.0,0,1,27
5,4,16,0,860.0,0,14,23
7,6,7,1,2520.0,0,1,27
4,7,9,1,369.0,0,17,23
4,1,15,0,337.0,0,3,24
5,7,21,1,83.0,0,9,5
7,1,13,0,421.0,0,20,23
4,1,12,0,801.0,0,3,22
5,7,16,1,257.0,1,4,23
4,3,6,0,529.0,0,3,10
2,3,7,0,594.0,0,10,0
4,3,17,0,2446.0,0,20,18
5,7,5,1,453.0,0,7,23
4,7,16,1,1605.0,1,20,10
4,3,17,0,736.0,0,3,23
7,2,9,0,2498.0,0,12,23
7,3,22,0,395.0,0,18,2
5,4,12,0,366.0,0,5,23
5,6,9,1,621.0,0,3,23
5,3,20,0,338.0,1,18,25
4,6,15,1,937.0,0,20,10
4,5,17,1,240.0,1,7,23
2,4,7,0,236.0,0,17,16
4,7,6,1,438.0,0,6,23
7,3,11,0,423.0,1,18,19
4,4,20,0,1754.0,0,14,3
5,2,16,0,2125.0,0,3,5
5,6,0,1,1235.0,0,3,16
2,7,5,1,313.0,0,17,23
5,7,16,1,646.0,0,7,23
2,5,19,1,533.0,0,18,7
2,3,10,0,190.0,0,9,23
7,7,18,1,680.0,0,1,27
2,5,17,1,1562.0,0,3,3
5,3,15,0,257.0,0,3,5
5,7,11,1,575.0,0,5,5
4,7,0,1,1576.0,0,10,24
5,5,23,1,1927.0,1,7,29
7,5,14,1,1029.0,0,8,14
2,1,23,0,453.0,0,7,0
7,1,10,0,862.0,0,20,16
4,2,9,0,234.0,0,9,22
4,5,16,1,133.0,1,18,18
2,2,6,0,829.0,0,18,23
5,6,6,1,895.0,0,18,7
4,1,18,0,390.0,0,18,23
5,7,18,1,325.0,0,18,23
4,2,15,0,251.0,0,17,7
2,5,15,1,338.0,0,3,25
7,5,8,1,678.0,1,3,22
4,1,18,0,546.0,0,18,23
2,1,21,0,612.0,1,18,2
5,4,19,0,664.0,0,19,23
7,2,6,0,733.0,0,3,22
7,2,19,0,163.0,0,12,23
7,3,8,0,394.0,0,5,23
2,7,8,1,828.0,0,16,14
5,4,11,0,427.0,0,14,23
7,6,10,1,416.0,1,9,23
2,5,20,1,350.0,0,5,5
4,4,12,0,241.0,0,4,23
2,5,22,1,281.0,0,4,5
5,7,14,1,1666.0,1,14,23
2,6,16,1,88.0,0,4,5
5,2,10,0,262.0,0,17,23
2,3,11,0,306.0,0,7,23
2,5,21,1,247.0,0,18,23
4,1,11,0,321.0,0,18,0
7,7,11,1,270.0,1,7,0
5,1,7,0,764.0,0,8,17
5,5,11,1,1055.0,1,18,23
